epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.91665,1.89447,3.84431,1.59216,0.00411,0.49697,0.06872,0.02827,1.7739,3.81502,1.43779,0.00016665,0.00016665,0.00016665
2,4.92431,1.78545,3.49909,1.57165,0.00284,0.45697,0.04915,0.02226,1.78334,3.77385,1.46864,0.000341,0.000341,0.000341
3,6.73827,1.76059,3.18194,1.62198,0.00303,0.46697,0.0825,0.04315,1.74427,3.68368,1.52599,0.000511831,0.000511831,0.000511831
4,8.56941,1.71818,2.78649,1.57385,0.00275,0.44879,0.05553,0.02142,1.83355,3.67412,1.63081,0.000679142,0.000679142,0.000679142
5,10.3726,1.75403,2.88583,1.60179,0.00332,0.49879,0.04703,0.0162,1.93048,3.55259,1.79551,0.000842933,0.000842933,0.000842933
6,12.1592,1.76088,2.72842,1.61642,0.73526,0.0452,0.0888,0.03636,1.88901,3.23218,1.76044,0.00100321,0.00100321,0.00100321
7,13.9822,1.76393,2.76607,1.64685,0.69946,0.07455,0.10643,0.05037,1.79512,3.03185,1.77035,0.00104501,0.00104501,0.00104501
8,15.7768,1.7548,2.65192,1.59867,0.77056,0.06546,0.12057,0.06798,1.71258,2.86347,1.66623,0.00103401,0.00103401,0.00103401
9,17.5764,1.69799,2.68988,1.61032,0.4946,0.11455,0.08656,0.04432,1.74253,2.83924,1.63782,0.00102301,0.00102301,0.00102301
10,19.4568,1.70822,2.68887,1.57912,0.46037,0.13273,0.07237,0.03405,1.84697,2.93214,1.61281,0.00101201,0.00101201,0.00101201
11,21.2735,1.69651,2.62177,1.56603,0.73811,0.09919,0.10911,0.052,1.96788,2.71047,1.71358,0.00100101,0.00100101,0.00100101
12,23.095,1.61586,2.44284,1.50428,0.49433,0.16339,0.11922,0.06381,1.85507,2.58477,1.60913,0.000990012,0.000990012,0.000990012
13,24.9137,1.65061,2.50046,1.50157,0.7341,0.18557,0.16317,0.08918,1.88956,2.5364,1.61347,0.000979013,0.000979013,0.000979013
14,26.749,1.62945,2.32581,1.46585,0.84186,0.22091,0.234,0.11327,1.80568,2.57194,1.62101,0.000968014,0.000968014,0.000968014
15,28.5736,1.50827,2.25073,1.41484,0.56868,0.2466,0.23837,0.12579,1.82342,2.29749,1.68253,0.000957015,0.000957015,0.000957015
16,30.3844,1.51173,2.22953,1.45965,0.58462,0.15273,0.19384,0.09866,1.75344,2.33436,1.62664,0.000946016,0.000946016,0.000946016
17,32.2695,1.59162,2.38136,1.47802,0.57034,0.17045,0.21484,0.1217,1.64242,2.45535,1.58808,0.000935018,0.000935018,0.000935018
18,34.0877,1.54023,2.23778,1.46134,0.53504,0.24091,0.25768,0.15507,1.64121,2.71143,1.61008,0.000924019,0.000924019,0.000924019
19,35.9668,1.58391,2.21229,1.48654,0.55383,0.24116,0.27954,0.15644,1.72859,2.61694,1.6471,0.00091302,0.00091302,0.00091302
20,37.8309,1.512,2.13314,1.41706,0.69768,0.18121,0.31413,0.14949,1.77039,2.40154,1.65519,0.000902021,0.000902021,0.000902021
21,39.6941,1.53127,2.08755,1.43246,0.65965,0.16449,0.26501,0.10436,1.98029,2.57265,1.79102,0.000891022,0.000891022,0.000891022
22,41.5381,1.60882,2.164,1.51342,0.58675,0.17203,0.34697,0.16806,1.88962,2.35897,1.70803,0.000880023,0.000880023,0.000880023
23,43.3574,1.50726,2.21207,1.42331,0.54166,0.27408,0.35761,0.21016,1.83909,2.49861,1.65258,0.000869024,0.000869024,0.000869024
24,45.1989,1.47934,1.99303,1.39968,0.50072,0.23091,0.45706,0.30188,1.807,2.31626,1.67773,0.000858025,0.000858025,0.000858025
25,47.0613,1.4203,1.92509,1.36123,0.61751,0.27939,0.31861,0.16313,1.88555,2.37303,1.76194,0.000847026,0.000847026,0.000847026
26,48.9093,1.48386,2.0198,1.40737,0.61133,0.24303,0.33244,0.20053,1.78569,2.38956,1.69877,0.000836027,0.000836027,0.000836027
27,50.7666,1.46078,2.02272,1.40361,0.50755,0.34121,0.35819,0.21875,1.66551,2.27501,1.62398,0.000825029,0.000825029,0.000825029
28,52.6765,1.41648,1.9521,1.3631,0.57195,0.35184,0.42365,0.23085,1.70221,2.25448,1.6199,0.00081403,0.00081403,0.00081403
